08:E3:59:3C;301;2015-08-18T18:01:49.904737
08:E3:59:3C;301;2015-08-18T18:01:50.662044
08:E3:59:3C;301;2015-08-18T18:01:51.418487
08:E3:59:3C;301;2015-08-18T18:01:52.175036
08:E3:59:3C;301;2015-08-18T18:01:52.932316
08:E3:59:3C;301;2015-08-18T18:01:53.688694
08:E3:59:3C;301;2015-08-18T18:01:54.445184
08:E3:59:3C;301;2015-08-18T18:01:55.208500
08:E3:59:3C;301;2015-08-18T18:01:55.965091
08:E3:59:3C;301;2015-08-18T18:01:56.721450
08:E3:59:3C;301;2015-08-18T18:01:57.477867
08:E3:59:3C;301;2015-08-18T18:01:58.234567
08:E3:59:3C;301;2015-08-18T18:01:58.991064
08:E3:59:3C;301;2015-08-18T18:01:59.747500
08:E3:59:3C;301;2015-08-18T18:02:00.508603
08:E3:59:3C;301;2015-08-18T18:02:01.264810
08:E3:59:3C;301;2015-08-18T18:02:02.021283
